text,label
Küçükken beni iki köpek kovalamıştı ve yabancı bir yerde olduğum için saklanabileceğim bir yer yoktu,Fear
Daha önce kaldığım yurtta birden çok kez haklı olmama rağmen haksız duruma düşürülmem beni çok sinirlendirdi,Anger
DOM dersinin ödevi ve lab puanlama sistemi beni çok üzdü,Sadness
Eski oda arkadaşlarımın iğrenç davranışlarından bıktım,Disgust
Yeni tanıştığım insanların benim hakkımda edindikleri fikirler beni şaşırtıyor,Surprise
dersi aa notu ile geçmek,Happy
1.8 ortalamanın altında kalmak,Fear
derse hiç gelmeyen arkadaşımın benden fazla var yazılması,Anger
fd notu ile kaldığımı görünce,Sadness
ödevlerde en az 50 almak şart olduğunu öğrendiğimde,Surprise
ben küçük bir çocukken yanıma yanaşan amca şekerin pantolonunun cebinde olduğunu söylediğinde çok mutlu olmuştum.,Happy
ben küçük bir çocukken arabayla yanıma yanaşan amca şeker vermeyi teklif ettiğinde korku dolu anlar yaşamış avazım çıktığınca bağırmıştım.,Fear
ben küçük bir çocukken arabayla yanıma yanaşan amca vaat ettiği şekeri vermeyince öfkelenmiştim.,Anger
o acı tecrübenin sonunda en azından bir şeker alamamak beni gerçekten üzen tek şeydi,Sadness
amcanın şeker olduğunu söylediği şeyin şeker olmadığını iş işten geçtikten sonra fark ettiğimde tiksinmiştim,Disgust
bu beni şaşırtmıştı da aynı zamanda,Surprise
Dün akşam iflah olmaz bir alkolik olduğumu anladım ve kendimden korktum.,Fear
Kütahya'ya muazzam bir terminal yapıldığında çok öfkelendim. Hatta kendime zarar verdim.,Anger
Pokemon dizisinde Pikachu-Ash ayrılığında ağlamıştım. Kimseye söylemedim ama gözümden süzülen yaşlara engel olamadım.,Sadness
Arkadaşımın cinsiyeti hakkında yanılmışım. Doğrusunu öğrendiğimde tiksindim ve uzaklaştım.,Disgust
Amcamın mesleğini öğrendiğimde çok şaşırmıştım. Kendisi fakir genç kızların geçimine yardımcı oluyordu.,Surprise
Galatasaray'ın şampiyonluğu beni çok mutlu etti.,Happy
Yaklaşan DOM ödevinden çok korkuyorum.,Fear
Lab da bilgisayar yanlışlıkla kapandığında sinirlerime hakim olamadım.,Anger
Projeyi tamamlayamayınca çok üzüldüm.,Sadness
Sürekli verilen ödevlerden bıktım,Anger
Logic dersinde AA notu gelince şok oldum.,Happy
projeyi bitirmekten çok mutluluk duyarım,Happy
projeyi bitirememekten çok korkarım,Fear
projeyi tam anlatamayan hocalara çok öfkelenirim,Anger
projeden kalmaktan üzüntü duyarım,Sadness
çalışmayan proje arkadaşından tiksinirim,Disgust
proje kodu atan arkadaşlara çok şaşırırım,Surprise
Bu labı bütün öğrenciler anlamış ve 100 almış şekilde tamamlayacaklar. Akşam hepimiz rahat uyuyacağız.,Happy
DOM labı geç biter diye düşünceler bastı...,Fear
Yine mi ödev! Hep ödev hep ödev!,Anger
Bisküviyi marketin 2 katı fiyatına satan bir kantinimiz var. 75 kuruşa satılan bisküviye 1 lira 50 kuruş verdiğim için çok üzüldüm.,Sadness
Yola tükürmek ya da izmarit atmak pek hoş değil sanki.,Disgust
Hiç beklemediğim bir yerden para gelmesine çok sevindim,Happy
İlk kez korku filmi seyrettiğimde etkisi altında kalıp uyuyamamıştım,Fear
İnsanların yardıma ihtiyacı olup yardım edip ben yardım istediğim zaman kimsenin bana yardım etmemesine çok sinir olurum,Anger
Vefat eden dayımı düşünmek içimi çok acıtıyor.,Sadness
Evde bozulan şeyleri görüp onları atarken çok tiksinirim,Disgust
Paramın az harcadığım halde en son baktığımda hiç kalmamasına çok şaşırdım,Surprise
Yükseklik,Fear
Gıcıklık yapılması,Anger
Vefat,Sadness
Birisinin yanımda kusması;,Disgust
sürpriz yapılması,Happy
gece yatarken nereden geldiğini anlayamadığım sesler,Fear
ev arkadaşımın haddinden ağır lafları,Anger
vefat eden akraba,Sadness
arkadaşlarımın evine gittiğimde mutfakta aylardır yıkanmayan tencerelerin kokusu,Disgust
alakasız iki insanın birbirini bulup sevgili olması,Surprise
Ne yaptığımı bilmeden yazdığım kod doğru çıktı verince seviniyorum.,Happy
İri kıyım 3 5 kişiden dayak yemekten korkuyorum.,Fear
Arkadaşım haksızlığa uğradığında çok öfkeleniyorum.,Anger
"USB Belleğimi ve zippomu kaybettiğimde çok üzüldüm, ayrıca ölüm o kadar da üzülmeye değer bir şey değil. Doğum gibi sıradan bir olay.",Sadness
"Kezban kızlar ağzını yaya yaya konuştuğunda, o ve onun gibilerden tiksiniyorum.",Disgust
Herhangi bir dersten bütünleme sınavına girmeden geçince çok şaşırıyorum.,Surprise
2 yaz önce ilk defa İngiltere'ye gittiğim zaman çok mutlu oldum.,Happy
2005 yılında evde yalnızken şiddetli bir deprem olduğunda çok korkmuştum.,Fear
Arkadaşlarımın bana kazık atması beni çok öfkelendirir.,Anger
Annemin hasta olduğunu öğrendiğim gün çok üzüldüm.,Sadness
Birinin karşımda ağzını şapırdatarak yemek yemesinden tiksinirim.,Disgust
doğum günümde evde hasta olarak yattığını söyleyen erkek arkadaşımı eve gelince birden karşımda görünce çok şaşırmıştım.,Surprise
Jessie-j konserine gideceğim için çok mutluyum.,Happy
Projeden korkuyorum,Fear
hava soğuk ve yağmurlu olduğu için çok mutsuzum.,Sadness
ödevlerden tiksiniyorum,Disgust
şarjımın bittiğini görünce çok şaşırdım.,Surprise
çok sevdiğim arkadaşlarımın yanındayken ve ailemleyken mutlu olurum,Happy
yanımda kimse yoksa karanlıktan korkarım,Fear
otobüsü kaçırdığımda öfkelenirim,Anger
labları yapamayınca üzülüyorum,Sadness
kurbağalardan tiksinirim,Disgust
ders iptal olduğunda,Happy
abimin oğlu olacağına çok sevindim. amca oluyorum,Happy
küçükken ilkokulda iğne olunacağı zaman çok korkmuştum,Fear
tınaztepe de insanlar insin diye otobüsten inip tekrar binemeyince çok öfkeleniyorum. Otobüs mü küçülüyor yoksa içerideki insanlar mı genleşiyor anlamıyorum,Anger
ev yaparken babamın ufak bir kaza geçirmesine çok üzüldüm,Sadness
eve gelen misafirin çocuğunun labtop tuşlarına sürekli basması,Anger
meslek yüksek okulundan eski bir arkadaşım bana kendi telefonunu hediye edince çok şaşırmıştım,Surprise
Arkadaşımı Pes2015 oyununda yendiğim için çok mutluyum.,Happy
"Yağmurlu havada kaymıştım, düşmekten çok korkmuştum.",Fear
Tam evin kapısındayken evin anahtarını arabada unutunca çok üzüldüm.,Sadness
Böcekler!,Fear
Ödevi yüklemeyi unuttuğuma çok şaşırdım.,Surprise
bu ürkme eylemleri daha çok korku filmleri izlerken olurdu.,Fear
bu olayı yaşadım çünkü caddeden geçen araba ona aniden çarptı. sonra çok üzülmüştüm,Sadness
Çocukluk hayalim olan Bilgisayar Mühendisliği bölümünü kazandığımda çok mutlu oldum.,Happy
Evde yalnız kaldığımda karanlıkta uyumaktan korkuyorum.,Fear
İnsanların arkamdan konuştuklarını öğrendiğimde çok öfkelendim.,Anger
Anneannem ve dedem vefat ettiğinde çok üzüldüm.,Sadness
Mutfakta gezinen hamam böceği görünce çok tiksiniyorum.,Disgust
Kötü geçtiğini düşündüğüm bir sınavdan yüksek not aldığımda şaşırdım.,Surprise
eşim ve oğlumla birlikte gezmek benim için en güzel aktivitedir. Onlar yanımdayken çok mutluyum.,Happy
Küçükken karanlıktan çok korkardım.,Fear
Hak ettiğimiz atamaların yapılmaması beni çok sinirlendiriyor.,Anger
Terk edilmiş çocukları gördüğümde içim acıyor.,Sadness
Bozulmuş balık ceset gibi iğrenç kokar.,Disgust
Eşimin odasını topladığını görünce çok şaşırdım çünkü her zaman odası çok dağınıktır.,Surprise
Anne olacağımı öğrendiğimde çok mutlu olmuştum.,Happy
Sevdiklerimi kaybetmekten korkarım.,Fear
Arkadaşımın  yalan söylemesi beni çok öfkelendirdi.,Anger
Fakir bir ailenin  evsiz kalışı canımı yaktı.,Sadness
Garsonun ellerini görünce yemeği yiyemedim.,Disgust
Cebimde unuttuğum parayı bulunca çok şaşırdım.,Surprise
Emekli olmak benim için yeni ve güzel bir hayata yelken açmak demekti.,Happy
Araba kazasından sonra bir daha direksiyona geçemedim.,Fear
Kardeşimin benden habersiz arabamı alması ilişkimizin sıkıntıya girmesine sebep oldu.,Anger
Babamın vefatı bende onarılmaz yaralar açtı.,Sadness
Odamda gördüğüm hamam böceğinden tiksindim.,Disgust
Çocukluk arkadaşımı karşımda görünce ne yapacağımı şaşırdım.,Surprise
Bayramda çocuklarımı karşımda görünce mutlu oldum.,Happy
Yaşlı arabamın motorundan gelen dumanlar kesilmeyince korktum.,Fear
Kooperatif yöneticisinin açıkça hakkımızı yemesine çok  öfkelendim.,Anger
Arabamın göz göre göre yanmasını çaresizce seyretmek beni üzdü.,Sadness
Doğru bir insan olduğunu zannettiğim kişinin açıkça hak yediğini gördüğümde tiksindim.,Disgust
İnsanların küçücük menfaatler için dün ak dediklerine bugün kara demeleri beni şaşırtıyor.,Surprise
diktiğim fidanların baharla birlikte yemyeşil yapraklarla bezenmesi içimi mutlulukla doldurdu.,Happy
Yağmurun ıslattığı ve kenarları kısmen kaymış toprak yoldan aşağıya arabamla korka korka inmeyi başardım.,Fear
"Bahçenin kapısının çoban tarafından açılarak, yeni diktiğim ve henüz yapraklanmaya başlamış fidanlarımın hayvanlar tarafından yedirilmesi beni öfkelendirdi.",Anger
Aşırı yağmurun bin bir zahmetle diktiğim sebzeleri sular içinde bırakmasına üzüldüm.,Sadness
Piknik yapanların ağaçların arasına bıraktığı boş şişe ve poşetler içimi kararttı.,Anger
Bu mevsimde hiç durmadan akşam başlayan yağmurun sabaha kadar sürmesine şaşırdım kaldım.,Surprise
"Yeğenlerimi alıp sevince çok mutlu oluyorum. Hele de kız bebeklerin tatlılığı içimi sarıp sarmalıyor. O masum ve musaffa gülüşlerin ileriki yaşlarını tahayyül ediyor ve onların yanında olmak arzusu duyuyorum. İlk veya son, hepsi de birbirinden tatlı, insana mutluluk veren çehreler olmuştur benim için.",Happy
Ailem memlekete gittiğinde birkaç gün evde yalnız kalmıştım. O zaman zarfında özellikle gece uyumakta biraz zorlandım. Bir an ailemin olmadığı ev yaşantısını düşününce ürperdim. Bir an önce gelmelerini bekledim. Geceleri ses olmasa da hafif ürpermeler yaşadım.,Fear
Öfkelenmekle elime hiçbir şey geçmeyeceği eğer varsa öfkemi zapt etmeye çalışırım. Aksi takdirde rahatlayamayacağımı düşünürüm.,Anger
"Benim için neşe kaynağı olan, sevimli ve kocaman gözleriyle koşup duran köpeğimi kaybettiğimde içimde bir burukluk hissettim. Sevimli tavırlarıyla nasıl da severdim onu. İçimin sıkıldığı kimi zamanlarda sanki beni teselli etmek istercesine, aniden bana doğru koşardı. Evimde çoğu zaman yanımdan ayrılmayan bir arkadaş olmuştu.",Sadness
"Özlem duygusunun yanı sıra askerlik süresince değişmiş bulduğum oğlumu ilk gördüğümde şaşakalmıştım. Zayıflamış, süzülmüş, suskun bir haldeydi. Acaba bizim bilmediğimiz acı olaylar mı yaşamıştı. Gözlerinin içine baktığımda bunu hissedebiliyordum. Birden benim de içimi bir hüzün ve keder sardı, oğlumu sımsıkı bağrıma bastım ve evin yolunu tuttuk. Eve vardığımızda onun acılarını yüreğimin sıcaklığıyla dindirmeye kararlıydım.",Sadness
Kızım doğduğunda çok mutlu oldum.,Happy
Kendi öfkemden korkuyorum. Gün gelip kendimi kaybedeceğimden.,Fear
"Şehrime gelip ortalığı karıştıran, haraç kesmeye çalışan, hırsızlık yapan, uyuşturucu satan doğu kökenli şerefsizlere çok öfkeleniyorum.",Anger
Şehit olan arkadaşlarımı düşününce üzülürüm.,Sadness
Yemeğin içinden bir tutam halinde saç çıkması.,Disgust
Üniversiteyi normal eğitim süresi içerisinde bitirdiğimde çok mutlu olmuştum.,Happy
Çocukken mahalle arasında sokak köpekleri beni kovaladığında çok korkmuştum.,Fear
Garanti süresi dolmadan önce arızalanan televizyonumun bakımını yapmaya isteksiz davranan yetkili servis personeline çok öfkelendim.,Anger
Oğluma hiperaktif teşhisi konulduğu gün çok üzülmüştüm.,Sadness
İş toplantıları için gittiğim Avrupa ülkelerindeki tuvaletlerde taharet musluğu olmamasından hoşlanmıyorum.,Disgust
Aynı iş yerinde beraber çalıştığım erkek ve kız iki mühendis arkadaşın bir anda birbirleriyle evlilik kararı almalarına çok şaşırdım.,Surprise
Kedi görünce mutlu oluyorum.,Happy
Gece karanlığında ıssız bir yerden yalnız başına geçmektedir korkarım.,Fear
Çocukların beni dinlememesine sinirleniyorum.,Anger
Çok sevdiğim bir yazarla tanışamamak beni üzüyor,Sadness
İş arkadaşımın tavırları beni rahatsız ediyor,Anger
Hiç beklemediğim bir sınavdan iyi not alınca  çok  şaşırdım.,Surprise
Doktoranın bitmesi beni çok sevindirir,Happy
Sırada beklerken önüme birisi geçtiğinde.,Anger
Oyuncak tankımın namlusu kırıldığında.,Sadness
Klozet kapağı kaldırılmadan işenmesi,Disgust
Nargilesiz geçen bir hafta,Sadness
Çevremdeki insanlar mutlu oldukça,Happy
Ölüm,Fear
Yalan konuşulduğu zaman,Anger
Babamın ameliyat olduğu zaman,Fear
"Yılan, sümüklü böcek",Fear
Çikolata yemeyen insan gördüğümde,Surprise
Yüzme yarışlarında iyi derece alınca çok seviniyorum.,Happy
Evde yalnız kalmaktan korkarım.,Fear
Ailem beni dinlemeyince çok öfkelenirim.,Anger
İstediğim şeyleri yapamayınca üzülüyorum.,Sadness
Arkadaşlarımın kirli elleriyle bana dokunması beni tiksindiriyor,Disgust
Annem beklemediğim bir doğum günü hediyesi alınca şaşırdım.,Surprise
Akademisyenliğe adım attığım ilk gün havalarda uçuyordum.,Happy
Karanlık bir yerden geçerken karşıma aniden bir kedinin çıkmasıyla irkildim.,Fear
Devlet büyüklerimizin halkı enayi yerine koyuyor olması beni cidden kızdırıyor.,Anger
"Ben mezun olamadan dedemin vefat etmesi, beni derinden etkilemişti.",Sadness
"Yazın, toplu taşıma araçlarında yolcuların ter kokusunu çekmekten nefret ediyorum.",Disgust
Amerika'da olduğunu sandığım kuzenimi karşımda görünce şok oldum.,Surprise
Çocuklar derslerde başarılı olunca çok mutlu olurum,Happy
Arabayla kaza yaparım diye korkuyorum,Fear
Yapılması gereken bir iş yapılmazsa öfkelenirim,Anger
Babamın ölümü aklıma gelince üzüntüye boğuluyorum,Sadness
İnsanlar birbirine yalakalık yapınca tiksinti duyarım,Disgust
Yıllardır görmediğim arkadaşlardan telefon alınca şaşırdım,Surprise
Anne olunca çok mutlu oldum.,Happy
Toplu taşıma aracında gece bir tek bayan olarak yolculuk edince çok korktum.,Fear
Arkadaşımın sebepsiz ihanetine çok öfkelendim.,Anger
Kuzenim trafik kazasından sonra özürlü kalınca çok üzüldüm.,Sadness
Lokantada bir müşteri kusunca midem bulandı.,Disgust
Kötü geçen dersin sınavından geçince çok şaşırdım.,Surprise
Geçen sene bölümümüz öğrencilerinini Tübitak yarışmasını kazanmasından çok mutlu oldum.,Happy
Safra Kesesi Ameliyatı öncesinde gerçekten korkmuştum.,Fear
Geçen hafta İstanbul'a gideceğim uçağın iptal edildiğini öğrenince çok öfkelendim.,Anger
Yazları bizim bahçemize gelen kedi kaybolunca çok üzüldüm.,Sadness
Tuvalete girince temiz değil ise gerçekten tiksiniyorum.,Disgust
20 senedir görmediğim bir arkadaşımı yeniden görünce çok şaşırdım.,Surprise
Takımım şampiyon olunca çok mutlu oldum.,Happy
Yalnız başıma korku filmi izlemekten korkuyorum.,Fear
Birisini beklerken sinirleniyorum.,Anger
Bir gün annemin öleceğini düşünmek beni üzüyor.,Sadness
İş yoğunluğundan usandım.,Sadness
Arkadaşlarımın sürpriz doğum günü partisi.,Surprise
"İlk işe girişim, ilk çocuğumun ve torunumun doğuşu beni çok mutlu etmişti.",Happy
Sobalı bir evde oturuyorduk. İşe gitmek için dışarı çıkıp birkaç dakika sonra unuttuğum bir şeyi almak için geri döndüğümde kapı açılmayınca eşimin ve üç çocuğumun sobadan zehirlendiğini düşündüm büyük bir korku ile kapıyı omuzlayıp içeri girdim.,Fear
Kızımın not yükseltmek için girdiği sınavda notunun düşürülmesi olayına çok kızmıştım. MEB'e kadar dilekçe ile başvurarak haksızlık yapıldığını anlatmıştım.,Anger
Çok sevdiğim babamın ölmeden önce beni arayıp kalp rahatsızlığını bildirdikten sonra tedavisini yaptıramadan ölmesine çok üzülmüştüm.,Sadness
Sigara içilen otel odasındaki yatakta yatmaktan her zaman tiksinti duyarım,Disgust
Torunumun her yeni davranışı beni hem çok şaşırtıyor hem de mutlu ediyor.,Happy
istediğim devlet kurumuna atandığıma dair sonuç açıklandığında çok sevindim,Happy
ameliyathaneye giderken çok korkmuştum.,Fear
trafikte yapılan dikkatsiz hareketlere öfkeleniyorum.,Anger
kardeşimi kaybettiğimiz zamanı düşününce çok üzülüyorum,Sadness
ıslak veya terli bir eli sıkmaktan veya o kişiyle tokalaşmaktan tiksiniyorum.,Disgust
yıllar sonra bir arkadaşımla hem de çok alakasız bir İl de karşılaşınca çok şaşırdım.,Surprise
Aşk,Happy
hiçbir şeyden korkmam. ölme anından da korkmam. toprağa konulduktan sonra korkarım.,Fear
hatalar bilerek yapılırsa öfkelenirim.,Anger
Çocukken sahip olduğum köpeğimi annemin dışarı atmasına çok kızardım ve üzülürdüm.,Sadness
yapmadığım bir şeyi yaptı denilmesine,Anger
ATANDIĞIM İÇİN ÇOK MUTLU OLDUM,Happy
UÇAKTA BİR AN NEFES ALAMAYINCA ÇOK KORKTUM VE SİGARAYI BIRAKTIM,Fear
HAKKIMDA ATILAN İFTİRAYI DUYUNCA CİNNET NASIL GEÇİRİLİRMİŞ ANLADIM,Anger
TAVŞANIM VE TAVUĞUM ÖLDÜĞÜNDE ÇOK ÜZÜLDÜM,Sadness
İNSAN VE ÇORAP KOKUSUNDAN MİDEM BULANIR,Disgust
